PARTPOP2,PRTOVR185,PRTUND185,PERCENTUND185,GIS_ID,GLOBALID,OBJECTID
1405,1333,72,0.05124555,LowFoodAccessPly_36,{FF96FCBB-7D7E-4898-913E-5F212838668D},1
1191,1120,71,0.05961377,LowFoodAccessPly_37,{B0964E8D-C59E-47E7-BBF1-B997B15ACD31},2
1654,1603,51,0.03083434,LowFoodAccessPly_38,{7C2582DE-0DBF-4496-9D85-C9EDF2EA8DFA},3
1312,857,455,0.34679878,LowFoodAccessPly_39,{D5861A4D-9AAA-443F-A5EC-A099A62987C3},4
606,544,62,0.10231023,LowFoodAccessPly_40,{95062827-C1F9-4AC5-9DC3-8EE71FD0CBA4},5
669,657,12,0.01793722,LowFoodAccessPly_41,{617F45AE-55E7-4493-A52E-A5639FAE1295},6
1645,1554,91,0.05531915,LowFoodAccessPly_42,{FB228228-9EBC-4C17-B82F-E7D67202AEC0},7
1426,1132,294,0.20617111,LowFoodAccessPly_43,{4609BA76-5753-4837-983E-AAC0476DB2B8},8
812,452,360,0.44334975,LowFoodAccessPly_44,{407698A0-3DED-4AA4-8335-044AAF217A13},9
369,305,64,0.17344174,LowFoodAccessPly_45,{7902A97A-7833-4BB7-B9DB-88941004FFD0},10
771,658,113,0.1465629,LowFoodAccessPly_46,{5991F4A5-DBAC-48F2-99D9-2A18F5881E3A},11
975,975,0,0,LowFoodAccessPly_47,{AAC2C02A-1EC7-4762-A675-D60E74B23449},12
717,700,17,0.0237099,LowFoodAccessPly_48,{1B295EEE-F11A-4BC2-9311-ACE52F60BD63},13
989,667,322,0.3255814,LowFoodAccessPly_49,{12927603-6976-47A9-97D7-4A38BEF8CAC2},14
60,43,18,0.30000001,LowFoodAccessPly_50,{5E9B7E17-61DA-4EDE-A667-7D35E1FAAC5C},15
128,121,7,0.0546875,LowFoodAccessPly_51,{F7151F63-E8AB-40CB-8ADA-3AA92E3EF713},16
715,678,37,0.05174825,LowFoodAccessPly_52,{513A8B6C-8045-414F-9DB8-F8E1BE38A950},17
811,672,139,0.17139333,LowFoodAccessPly_53,{94DDAEC3-FC10-4852-9DBE-40EA54182B30},18
1083,1030,52,0.04801477,LowFoodAccessPly_54,{E922434B-8CB0-4A05-9FA4-ED934B6AE2F8},19
9,8,1,0.11111111,LowFoodAccessPly_55,{8040F0AE-FDFE-4F4B-917B-D5CDE9D76575},20
1605,919,686,0.42741433,LowFoodAccessPly_56,{B1E8001B-5104-4300-AAD3-3C09B3591B69},21
301,232,69,0.22923589,LowFoodAccessPly_57,{BB8DDC45-0B52-45F0-B7F5-EE65D821B5F4},22
320,194,125,0.390625,LowFoodAccessPly_58,{8E37C633-65ED-49BD-9903-6071A526BFF7},23
884,824,60,0.06787331,LowFoodAccessPly_59,{7D758C30-950F-4A3B-9416-4DF23419CB55},24
686,594,92,0.13411079,LowFoodAccessPly_60,{DBB09C96-2D96-4FC6-AF2A-8B07AC338658},25
136,81,55,0.40441176,LowFoodAccessPly_61,{1918A9AF-1BC7-459C-A2C3-624694C689C3},26
165,123,41,0.24848485,LowFoodAccessPly_62,{1D05E93F-0960-4ECE-9428-305310243BA4},27
1496,1236,260,0.17379679,LowFoodAccessPly_63,{1A549D95-A8FB-4E12-97FD-2D8BCA896C6C},28
251,218,33,0.13147411,LowFoodAccessPly_64,{5A10770A-E6E6-4586-ADDB-3D03EAAD7293},29
1061,931,131,0.12346843,LowFoodAccessPly_1,{D23EE1FF-A442-40A1-A049-F00582074E74},30
58,37,21,0.36206895,LowFoodAccessPly_2,{A5CE9528-8358-432D-9A74-FD89B081E5F6},31
1539,1337,203,0.13190383,LowFoodAccessPly_3,{04478B00-45F6-441E-B35A-662C2426AD1B},32
156,149,7,0.0448718,LowFoodAccessPly_4,{8DB504D3-5397-4FE0-B1CC-E290FE7E6DA0},33
711,680,31,0.04360056,LowFoodAccessPly_5,{0502E080-279E-4C94-8E6C-15B82AC4D206},34
139,99,40,0.28776979,LowFoodAccessPly_6,{68A5FD96-DCA4-40DF-A5F9-220676240086},35
1270,927,342,0.26929134,LowFoodAccessPly_7,{643B0225-2A1F-4973-8C21-1DDA9D92D093},36
727,682,45,0.06189821,LowFoodAccessPly_8,{720057C7-60CF-4525-B85D-E5E2EF04A48E},37
142,138,5,0.03521127,LowFoodAccessPly_9,{FACE8677-ACBA-4615-A096-2476557196B2},38
530,479,51,0.09622642,LowFoodAccessPly_10,{BD42AC87-0401-4CAC-8648-C73600B1FDAC},39
752,727,25,0.03324468,LowFoodAccessPly_11,{B3516B63-C682-467E-9621-CABDF7A5CF8D},40
256,199,57,0.22265625,LowFoodAccessPly_12,{06CF12B1-05BC-4D04-B8FB-379C206794F7},41
172,142,30,0.1744186,LowFoodAccessPly_13,{402507FD-2F1E-4BBC-88CD-85B14E8D6EC7},42
677,666,11,0.01624815,LowFoodAccessPly_14,{DC234940-A3E4-4E29-AFC6-85E249AE1371},43
388,358,30,0.07731958,LowFoodAccessPly_15,{D37CA795-0F45-4704-ABE2-7E0AC62908E6},44
697,517,180,0.25824964,LowFoodAccessPly_16,{8949A001-789C-497D-A863-148D0D9D78E0},45
1031,760,271,0.2628516,LowFoodAccessPly_17,{72BC8AA2-D94F-4AEA-8A84-AD86AF5F9F41},46
1121,908,213,0.19000892,LowFoodAccessPly_25,{A1D086AB-F69C-4ECC-BDB3-780326EACE25},47
516,324,192,0.37209302,LowFoodAccessPly_26,{27724D81-BDE7-4303-9F83-90B83F2B6F58},48
998,420,578,0.57915831,LowFoodAccessPly_27,{8FD210A2-A020-4265-ADCA-BE598F68E84F},49
739,657,82,0.11096076,LowFoodAccessPly_28,{E4546BB6-4F6F-415A-BBDD-D15373C4035B},50
393,374,19,0.04834606,LowFoodAccessPly_29,{35054253-5DA9-4EA2-82D8-523FD8B6F85A},51
8,4,3,0.375,LowFoodAccessPly_30,{397996A5-9505-4601-B67B-A6A52EB9FA07},52
221,122,99,0.4479638,LowFoodAccessPly_31,{3B61CDEA-4EB4-4DB2-BA30-854F2F8026A1},53
801,680,121,0.15106118,LowFoodAccessPly_32,{242675D1-25F7-4586-87D1-11335B4053A8},54
2,1,1,0.5,LowFoodAccessPly_33,{9B22D1A9-FAF7-4CE7-BEF1-A3AE67119B4A},55
1219,1053,166,0.1361772,LowFoodAccessPly_34,{2A490D21-504B-477F-A5E9-6B948F4D1D06},56
1409,1321,88,0.06245564,LowFoodAccessPly_35,{08B8B737-5EE3-4561-A327-1237E57AB7BE},57
960,898,63,0.065625,LowFoodAccessPly_18,{9E5E1180-A0F2-4BF9-840A-34CD03E01711},58
1218,1069,149,0.12233169,LowFoodAccessPly_19,{7FABFA8E-970F-45AD-8C52-183251067BEF},59
1228,1112,116,0.09446254,LowFoodAccessPly_20,{1D6996FF-32B9-4ABB-9A54-AF3CE8FFCA8A},60
950,444,506,0.53263158,LowFoodAccessPly_21,{F499CA69-A204-482E-922D-C180CB5CB152},61
758,691,67,0.0883905,LowFoodAccessPly_22,{237CDD11-8518-47A4-B215-E15D088C0C25},62
1370,1267,104,0.07591241,LowFoodAccessPly_23,{2D9B4FC1-766B-4A05-9802-48670F14E63C},63
264,188,76,0.28787878,LowFoodAccessPly_24,{8DB4284B-E77F-4B0D-82B6-F058BD6E097F},64
726,431,295,0.4063361,LowFoodAccessPly_119,{5464DAED-382B-4F40-BDDC-FC52176363C8},65
1147,1051,96,0.0836966,LowFoodAccessPly_120,{974FDCEB-DA09-4107-A64A-56D8F69A0740},66
1615,1404,211,0.13065015,LowFoodAccessPly_121,{DF84EFCB-3C7E-4890-877A-D9730F383854},67
2762,1220,1542,0.55829108,LowFoodAccessPly_122,{01C75617-5F6B-47F9-9546-0D49C99C481D},68
1486,930,556,0.37415883,LowFoodAccessPly_123,{29458C0B-08A8-41D5-8918-7292BB678A27},69
1998,1049,949,0.47497496,LowFoodAccessPly_124,{2310D832-44B1-4197-A34D-793369104139},70
892,567,325,0.36434978,LowFoodAccessPly_125,{796A4B02-2AB2-4AC2-889E-960B94015E3F},71
1509,1383,126,0.08349901,LowFoodAccessPly_126,{9E8F39E7-3914-4DE0-83AA-1E8ADBE3FA4E},72
1100,811,290,0.26363635,LowFoodAccessPly_127,{47E9FDF7-CF73-4805-B5E8-413330DF63B4},73
1003,823,180,0.17946161,LowFoodAccessPly_65,{129986F2-AE4D-45C1-882A-BEF57112FC40},74
1168,1168,0,0,LowFoodAccessPly_66,{C3EFA32D-BD58-435D-8A34-61D5E43BAD70},75
894,817,77,0.08612975,LowFoodAccessPly_67,{211AF8E8-0569-4CE9-9A59-6C3D4A926E1E},76
290,238,52,0.17931035,LowFoodAccessPly_68,{03A2E94A-756C-4A15-BD5B-BFEEC3E979E8},77
1084,612,472,0.43542436,LowFoodAccessPly_69,{7B9D197A-CDC8-4763-B376-86AA5FE40ED3},78
1688,1563,125,0.07405213,LowFoodAccessPly_70,{5CDF2D16-073D-42D4-8912-4FE71D5143E9},79
584,426,158,0.27054796,LowFoodAccessPly_83,{95DD7B79-E369-4B3A-B45A-74C23C3E9055},80
492,360,131,0.26626018,LowFoodAccessPly_84,{3FFCD183-F1DA-49F9-9C8A-969135FD75CC},81
316,148,167,0.52848101,LowFoodAccessPly_85,{D751F0B9-578B-47A5-A5B4-BB4EF765B2DC},82
1481,1156,326,0.22012153,LowFoodAccessPly_86,{42D16C2F-6412-489B-ADFB-5EDB47D9CE7B},83
1145,1108,37,0.03231441,LowFoodAccessPly_87,{1E7223B3-64CA-4D60-8E79-5305E69BF882},84
1098,1039,58,0.05282332,LowFoodAccessPly_88,{806A6F56-9D42-4C13-AF61-F008E06CF7F6},85
126,120,6,0.04761905,LowFoodAccessPly_89,{AADD3205-2749-455A-92E2-6A1F4AB44B2C},86
1476,1236,240,0.16260162,LowFoodAccessPly_90,{27F52A5C-1852-4EA2-8471-53955AC1A98F},87
898,412,486,0.54120266,LowFoodAccessPly_91,{7148CEAE-1AA3-4FF0-98B3-570AEC225F51},88
1539,1146,394,0.25601038,LowFoodAccessPly_92,{846122C3-7569-4204-A614-489B25D54C9A},89
587,509,78,0.13287905,LowFoodAccessPly_93,{26E5595F-E267-44EF-BE18-6562A7EA1C0A},90
665,541,124,0.18646617,LowFoodAccessPly_94,{CDEBC776-EA8A-42ED-BFB4-EF48D547B5B0},91
148,125,23,0.1554054,LowFoodAccessPly_95,{9682210D-DCE2-4E7B-B8D6-F6002D1B9E76},92
545,495,50,0.09174312,LowFoodAccessPly_96,{52BABD88-166F-4F83-B2ED-FEB0E36AEF66},93
998,839,159,0.15931864,LowFoodAccessPly_97,{495510FD-A15E-44E6-9D3F-9F2D67249D86},94
1402,1036,366,0.26105565,LowFoodAccessPly_98,{CEC62F1E-BEEA-435D-9793-8C62F2A36E20},95
1364,741,623,0.45674488,LowFoodAccessPly_99,{28F914F2-25FD-4108-A971-F1CFC5269AD6},96
1411,1014,397,0.28136075,LowFoodAccessPly_100,{143FD572-B70C-4EF9-B2B1-D76908B390CD},97
835,727,108,0.12934132,LowFoodAccessPly_101,{AA86D5DF-C981-4B5B-B084-4748B32B3A9D},98
102,86,16,0.15686275,LowFoodAccessPly_102,{D9468733-4576-4F10-80E5-E9507E326D9E},99
1224,319,905,0.73937911,LowFoodAccessPly_103,{B8942D96-7AB2-47AE-9548-31ECBD628E9C},100
328,321,7,0.02134146,LowFoodAccessPly_104,{DB127570-09C7-443D-B0C8-86710D8EEDA9},101
1161,1041,120,0.10335917,LowFoodAccessPly_105,{47D8720A-FFAA-4CAC-90F3-FA2CF18F48BF},102
458,421,37,0.08078603,LowFoodAccessPly_106,{8A0179CA-08FF-403B-8959-AC6E3683033F},103
957,688,269,0.28108674,LowFoodAccessPly_107,{C494D3A1-A976-4645-A5AD-45F1A7C4B123},104
965,911,54,0.05595855,LowFoodAccessPly_108,{1E41A788-7310-4175-B2E1-27E198C7AB64},105
261,248,13,0.04980843,LowFoodAccessPly_109,{35217EB4-A019-4234-96B4-D6E4726C06AA},106
200,137,63,0.315,LowFoodAccessPly_110,{5E4A79AA-0EB0-42A2-8068-FD6E42B143BE},107
1894,1696,198,0.10454065,LowFoodAccessPly_111,{11E250EF-3ECC-42D5-B739-AD2C0EC8728F},108
1492,1448,44,0.02949062,LowFoodAccessPly_112,{79DE4994-367B-47DB-BA4A-5A4E302D98EE},109
1480,975,505,0.34121621,LowFoodAccessPly_113,{D14CF2B8-DD9C-4B20-8101-AA3041E8B332},110
1406,910,496,0.35277382,LowFoodAccessPly_114,{8F4A4F09-56A6-4FD2-BA6D-D3A3A85331AB},111
114,43,70,0.61403507,LowFoodAccessPly_115,{84E755BA-C496-419A-B464-848D265DF5D4},112
2478,2068,410,0.16545601,LowFoodAccessPly_116,{9A38505A-196A-41BB-BCAD-A84DB0DAD49B},113
1078,591,486,0.45083487,LowFoodAccessPly_117,{AFD5DA0C-08DB-443A-B1D4-C9F5A0EA9BD4},114
80,61,19,0.2375,LowFoodAccessPly_118,{F6B4DCC0-138D-4A31-8978-2771EFA2741E},115
1551,1408,143,0.09219858,LowFoodAccessPly_71,{48BA8121-3A19-4D3D-82B1-4516EA20CBC7},116
330,278,52,0.15757576,LowFoodAccessPly_72,{313FEA89-5627-48E3-B3C7-0E5A00EBC00A},117
416,401,15,0.03605769,LowFoodAccessPly_73,{AC44A599-EB85-4363-AD51-E8E1D71054C2},118
629,351,277,0.44038156,LowFoodAccessPly_74,{D5FC366E-D788-43EE-914F-96442086A204},119
690,540,150,0.2173913,LowFoodAccessPly_75,{AE565932-EEA0-4996-A9CD-8DC492BFF418},120
2090,1544,545,0.26076555,LowFoodAccessPly_76,{FAD690EA-71E8-4078-8204-36E0C07E7090},121
506,420,86,0.16996047,LowFoodAccessPly_77,{66D0DA49-BFBD-480A-80DB-ACCAD31300F6},122
2037,1415,623,0.30584192,LowFoodAccessPly_78,{C7A3D098-5779-4938-8AAE-7FDF270F984C},123
1722,1487,235,0.13646922,LowFoodAccessPly_79,{7AF42D5F-BA2A-4155-80A7-78A8DE980569},124
496,496,0,0,LowFoodAccessPly_80,{389426C9-1E68-44FA-AE4F-1CE312372516},125
242,194,48,0.19834711,LowFoodAccessPly_81,{A8626C31-2E13-4612-9377-74D160F061B1},126
11,9,2,0.18181819,LowFoodAccessPly_82,{21273465-1A06-48DD-94D4-3162D876D082},127
1521,1005,516,0.3392505,LowFoodAccessPly_189,{49DD9F80-2CA0-47E8-A708-F4D786803BE6},128
