OBJECTID,TRACT,GEOID,pop_percent,total_pop,white,black,american_indian,asian,pacific_islander,other,hispanic,ALAND,AWATER,STUSAB,SUMLEV,GEOCODE,STATE,NAME,SHAPEAREA,SHAPELEN,white_percent,black_percent,hispanic_percent,asian_percent,other_percent,american_indian_percent,pacific_islander_percent
1,2002,11001002002,0.005905343378604732,4072,1116,1751,27,84,0,669,1022,849376,0,DC,140,11001002002,11,Census Tract 20.02,0,0,0.27406679764243613,0.4300098231827112,0.25098231827111983,0.0206286836935167,0.1642927308447937,0.006630648330058939,0.0
2,2101,11001002101,0.008247467532938388,5687,1037,2642,86,120,1,1185,1868,600992,0,DC,140,11001002101,11,Census Tract 21.01,0,0,0.1823457007209425,0.4645683136979075,0.32846843678565146,0.02110075611042729,0.2083699665904695,0.015122208545806225,0.00017583963425356076
3,2102,11001002102,0.007394731308326505,5099,901,2910,50,87,0,651,1074,725975,0,DC,140,11001002102,11,Census Tract 21.02,0,0,0.17670131398313393,0.57070013728182,0.21062953520298097,0.01706216905275544,0.12767209256717002,0.009805844283192783,0.0
4,2201,11001002201,0.005054057385667361,3485,973,1722,21,94,2,326,683,415173,0,DC,140,11001002201,11,Census Tract 22.01,0,0,0.27919655667144905,0.49411764705882355,0.19598278335724534,0.02697274031563845,0.09354375896700143,0.006025824964131995,0.0005738880918220947
5,2202,11001002202,0.0048423235611889,3339,619,1636,48,57,3,594,1003,698895,566,DC,140,11001002202,11,Census Tract 22.02,0,0,0.18538484576220426,0.48996705600479185,0.3003893381251872,0.017070979335130278,0.1778975741239892,0.014375561545372867,0.0008984725965858042
6,101,11001000101,0.002039025734361064,1406,1083,47,5,92,1,31,140,199776,5261,DC,140,11001000101,11,Census Tract 1.01,0,0,0.7702702702702703,0.033428165007112376,0.09957325746799431,0.06543385490753911,0.022048364153627313,0.0035561877667140826,0.0007112375533428165
7,102,11001000102,0.00495544163180068,3417,2783,57,3,176,2,76,316,1706484,516665,DC,140,11001000102,11,Census Tract 1.02,0,0,0.8144571261340358,0.016681299385425813,0.09247878255779923,0.05150717003219198,0.02224173251390108,0.000877963125548727,0.000585308750365818
8,201,11001000201,0.005957551718887092,4108,2535,348,9,624,6,175,456,505004,0,DC,140,11001000201,11,Census Tract 2.01,0,0,0.6170886075949367,0.08471275559883155,0.11100292112950341,0.1518987341772152,0.042599805258033106,0.0021908471275559884,0.0014605647517039922
9,202,11001000202,0.006775482383310734,4672,3573,193,11,399,0,102,357,776435,439661,DC,140,11001000202,11,Census Tract 2.02,0,0,0.7647688356164384,0.041309931506849314,0.0764126712328767,0.08540239726027397,0.02183219178082192,0.0023544520547945204,0.0
10,300,11001000300,0.008934877346656128,6161,4645,260,16,488,6,138,557,1042157,2305,DC,140,11001000300,11,Census Tract 3,0,0,0.7539360493426391,0.04220094140561597,0.09040740139587729,0.07920792079207921,0.022398961207596168,0.0025969810095763674,0.0009738678785911378
11,400,11001000400,0.002382730641219935,1643,1242,84,10,122,0,40,165,1541239,69,DC,140,11001000400,11,Census Tract 4,0,0,0.7559342665855143,0.05112598904443092,0.10042604990870359,0.07425441265976872,0.024345709068776627,0.006086427267194157,0.0
12,501,11001000501,0.005552937081698801,3829,2716,236,13,319,0,127,451,940249,29503,DC,140,11001000501,11,Census Tract 5.01,0,0,0.7093235831809872,0.06163489161661008,0.11778532253852181,0.08331156960041787,0.03316792896317576,0.0033951423348132673,0.0
13,502,11001000502,0.00495689186347519,3418,2617,118,5,221,1,79,365,581507,0,DC,140,11001000502,11,Census Tract 5.02,0,0,0.7656524283206554,0.03452311293153891,0.10678759508484494,0.06465769455822118,0.023112931538911644,0.001462843768285547,0.0002925687536571094
14,600,11001000600,0.006781283310008774,4676,3573,237,5,270,0,123,394,1441865,71,DC,140,11001000600,11,Census Tract 6,0,0,0.764114627887083,0.05068434559452523,0.08426005132591959,0.057741659538066724,0.02630453378956373,0.00106928999144568,0.0
15,702,11001000702,0.00500619974040853,3452,2195,280,17,417,1,121,445,308967,0,DC,140,11001000702,11,Census Tract 7.02,0,0,0.6358632676709154,0.08111239860950174,0.12891077636152956,0.12079953650057937,0.035052143684820396,0.004924681344148319,0.00028968713789107763
16,703,11001000703,0.004382600120369229,3022,2182,248,1,230,0,67,285,232137,0,DC,140,11001000703,11,Census Tract 7.03,0,0,0.7220383851753805,0.08206485771012574,0.0943084050297816,0.07610853739245532,0.022170747849106553,0.00033090668431502316,0.0
17,704,11001000704,0.003992487799926038,2753,1772,249,16,238,0,145,423,332346,0,DC,140,11001000704,11,Census Tract 7.04,0,0,0.6436614602252089,0.0904467853250999,0.15365056302215765,0.08645114420632037,0.05266981474754813,0.005811841627315656,0.0
18,802,11001000802,0.00482492078109478,3327,2245,226,8,386,8,65,330,1688582,669985,DC,140,11001000802,11,Census Tract 8.02,0,0,0.6747820859633303,0.06792906522392546,0.09918845807033363,0.11602043883378418,0.01953712052900511,0.0024045686804929365,0.0024045686804929365
19,803,11001000803,0.004603035334894749,3174,2251,168,1,274,1,75,391,308153,0,DC,140,11001000803,11,Census Tract 8.03,0,0,0.7091997479521109,0.052930056710775046,0.12318840579710146,0.08632640201638311,0.023629489603024575,0.000315059861373661,0.000315059861373661
20,804,11001000804,0.005557287776722332,3832,2854,201,8,322,3,66,294,2566768,167978,DC,140,11001000804,11,Census Tract 8.04,0,0,0.7447807933194155,0.052453027139874736,0.0767223382045929,0.08402922755741127,0.01722338204592902,0.0020876826722338203,0.0007828810020876827
21,902,11001000902,0.003360186789839677,2317,1860,76,7,93,0,50,173,1867106,307257,DC,140,11001000902,11,Census Tract 9.02,0,0,0.8027621924902891,0.03280103582218386,0.07466551575312905,0.04013810962451446,0.02157962883038412,0.0030211480362537764,0.0
22,903,11001000903,0.006093873496291032,4202,2589,426,2,672,0,227,583,928101,0,DC,140,11001000903,11,Census Tract 9.03,0,0,0.6161351737267967,0.10138029509757258,0.1387434554973822,0.15992384578772012,0.05402189433603046,0.00047596382674916705,0.0
23,904,11001000904,0.004565329311357489,3148,2545,131,4,127,0,30,187,2024710,75151,DC,140,11001000904,11,Census Tract 9.04,0,0,0.8084498094027954,0.041613722998729355,0.05940279542566709,0.0403430749682338,0.009529860228716646,0.0012706480304955528,0.0
24,1002,11001001002,0.005283193990239941,3643,2450,349,18,372,0,87,336,889722,0,DC,140,11001001002,11,Census Tract 10.02,0,0,0.6725226461707384,0.09580016469942355,0.09223167718912983,0.10211364260225089,0.023881416415042548,0.004940982706560527,0.0
25,1003,11001001003,0.0045116707394006195,3111,2503,85,3,130,1,31,240,982460,0,DC,140,11001001003,11,Census Tract 10.03,0,0,0.8045644487303117,0.0273224043715847,0.07714561234329798,0.04178720668595307,0.009964641594342655,0.0009643201542912247,0.0003214400514304082
